FullSpeciesNameValid,Family.x,Plant_species19,Family.y,TOTAL
Aeatus costulatus,Curculionidae,Amphilophium_paniculatum,Bignoniaceae,188
Aeatus costulatus,Curculionidae,Amphilophium_crucigerum,Bignoniaceae,84
Aeatus costulatus,Curculionidae,Tabebuia_rosea,Bignoniaceae,21
Aeatus sp. cur108SG,Curculionidae,Bignonia_aequinoctialis,Bignoniaceae,1
Aeatus sp. cur144SG,Curculionidae,Handroanthus_guayacan,Bignoniaceae,34
Aeatus sp. cur242SG,Curculionidae,Amphilophium_crucigerum,Bignoniaceae,3
Aeatus sp. cur262SG,Curculionidae,Callichlamys_latifolia,Bignoniaceae,7
Aeatus sp. cur263SG,Curculionidae,Amphilophium_paniculatum,Bignoniaceae,2
Aeatus vestitus,Curculionidae,Cordia_bicolor,Cordiaceae,94
Amblycerus bru59SG sp. bru59SG,Chrysomelidae,Cordia_bicolor,Cordiaceae,4
Amblycerus championi,Chrysomelidae,Cordia_bicolor,Cordiaceae,1
Amblycerus perfectus,Chrysomelidae,Combretum_fruticosum,Combretaceae,26
Amblycerus pterocarpae,Chrysomelidae,Pterocarpus_hayesii,Fabaceae,2
Amblycerus sp. bru17SG,Chrysomelidae,Combretum_fruticosum,Combretaceae,3
Amblycerus sp. bru17SG,Chrysomelidae,Combretum_laxum,Combretaceae,3
Amblycerus sp. bru21SG,Chrysomelidae,Platypodium_elegans,Fabaceae,10
Amblycerus sp. bru22SG,Chrysomelidae,Cordia_bicolor,Cordiaceae,92
Amblycerus sp. bru27SG near piurae,Chrysomelidae,Mendoncia_gracilis,Acanthaceae,4
Amblycerus sp. bru28SG,Chrysomelidae,Drypetes_standleyi,Putranjivaceae,10
Amblycerus tachigaliae,Chrysomelidae,Tachigali_panamensis,Fabaceae,16
Amblycerus vegai,Chrysomelidae,Cordia_alliodora,Cordiaceae,27
Anacampsis phytomiella,Gelechiidae,Anacardium_excelsum,Anacardiaceae,13
Anchonus sp. cur32SG,Curculionidae,Calophyllum_longifolium,Clusiaceae,1
Anchonus sp. cur53SG,Curculionidae,Poulsenia_armata,Moraceae,1
Anchonus sp. cur62SG,Curculionidae,Combretum_fruticosum,Combretaceae,1
Anthonominae unknown genus sp. 247SG,Curculionidae,Hiraea_reclinata,Malpighiaceae,6
Anthonominae unknown genus sp. 248SG,Curculionidae,Heteropterys_laurifolia,Malpighiaceae,51
Anthonomus sp. cur133SG,Curculionidae,Hiraea_reclinata,Malpighiaceae,2
Anthonomus sp. cur133SG,Curculionidae,Adelphia_hiraea,Malpighiaceae,2
Anthonomus sp. cur136SG,Curculionidae,Tetrapterys_discolor,Malpighiaceae,14
Anthonomus sp. cur14SG,Curculionidae,Virola_sebifera,Myristicaceae,1
Anthonomus sp. cur150SG,Curculionidae,Guatteria_lucens,Annonaceae,1
Anthonomus sp. cur158SG,Curculionidae,Myrcia_splendens_tip._gatunensis,Myrtaceae,4
Anthonomus sp. cur245SG,Curculionidae,Myrcia_splendens_tip._gatunensis,Myrtaceae,3
Anthonomus sp. cur45SG,Curculionidae,Casearia_guianensis,Salicaceae,2
Anthonomus sp. cur45SG,Curculionidae,Laetia_procera,Salicaceae,1
Anthonomus sp. cur45SG,Curculionidae,Zuelania_guidonia,Salicaceae,47
Apion sp. cur180SG,Brentidae,Machaerium_seemannii,Fabaceae,2
Apion sp. cur183SG,Brentidae,Machaerium_arboreum,Fabaceae,69
Apogeshna stenialis,NA,Protium_tenuifolium,Burseraceae,4
Apogeshna stenialisDHJ02,NA,Adelphia_hiraea,Malpighiaceae,1
Atractomerus caligatus,Curculionidae,Eugenia_oerstediana,Myrtaceae,24
Atryparius sp. 1SG,Cerambycidae,Inga_punctata,Fabaceae,2
Atryparius sp. 1SG,Cerambycidae,Platypodium_elegans,Fabaceae,14
Atryparius sp. 1SG,Cerambycidae,Pouteria_reticulata,Sapotaceae,1
Atryparius sp. 1SG,Cerambycidae,Trattinnickia_aspera,Burseraceae,1
Baris sp. cur100SG,Curculionidae,Desmoncus_orthacanthos,Arecaceae,6
Baris sp. cur121SG,Curculionidae,Tetracera_portobellensis,Dilleniaceae,12
Baris sp. cur46SG,Curculionidae,Davilla_nitida,Dilleniaceae,2
Baris sp. cur7SG,Curculionidae,Doliocarpus_major,Dilleniaceae,31
Baris sp. cur7SG,Curculionidae,Doliocarpus_multiflorus,Dilleniaceae,197
Baris sp. cur7SG,Curculionidae,Doliocarpus_olivaceus,Dilleniaceae,44
Borisauletes sp. cur1SG,Curculionidae,Doliocarpus_multiflorus,Dilleniaceae,11
Borisauletes sp. cur1SG,Curculionidae,Doliocarpus_olivaceus,Dilleniaceae,3
Bothryopteron darlingtoni,Brentidae,Hiraea_reclinata,Malpighiaceae,78
Bothryopteron darlingtoni,Brentidae,Mascagnia_divaricata,Malpighiaceae,1
Bothryopteron sp. 23SG,Brentidae,Hiraea_smilacina,Malpighiaceae,6
Bothryopteron sp. cur85SG,Brentidae,Hiraea_reclinata,Malpighiaceae,5
Bothryopteron sp. cur85SG,Brentidae,Adelphia_hiraea,Malpighiaceae,333
Bruc bru44SG Bruc sp. bru44SG,Chrysomelidae,Cordia_bicolor,Cordiaceae,4
Bruc bru45SG Bruc sp. bru45SG,Chrysomelidae,Cordia_bicolor,Cordiaceae,2
Bruc bru54SG Bruc sp. bru54SG,NA,Attalea_rostrata,Arecaceae,2
Bruc bru66SG sp. bru66SG,Chrysomelidae,Attalea_rostrata,Arecaceae,2
Busckiella lecythidis,Curculionidae,Gustavia_superba,Lecythidaceae,8
Carmenta foraseminis,Sesiidae,Gustavia_superba,Lecythidaceae,83
